User_id,Gender,Location,Max_transaction_date,No_of_transactions,No_of_transactions_weekends,No_of_transactions_weekdays,No_of_transactions_after_2PM,No_of_transactions_after_2PM,No_of_transactions_before_2PM,Total_spend,Total_discount_amount,Discount_percentage,Total_quantity,No_of_transactions_with_discount_more_than_20pct,No_of_distinct_products_purchased,No_of_distinct_segments_purchased,No_of_distinct_styles_purchased,segment,,
27,M,North,18:00.0,11,2,9,6,5,892,86.12,9.6547,34,2,6,2,4,6,Medium,,
28,M,North,07:00.0,11,3,8,7,4,983,102.48,10.4252,28,1,7,2,4,7,Medium,,
29,M,South,16:00.0,7,2,5,3,4,282,43.43,15.4007,16,2,6,2,4,6,Low,,
30,M,South,34:00.0,11,2,9,2,9,1180,165.04,13.9864,31,4,6,2,3,6,High,,
31,F,South,35:00.0,8,2,6,4,4,804,81.46,10.1318,20,1,7,2,4,7,Medium,,
32,M,South,06:00.0,12,1,11,7,5,1036,100.08,9.6602,36,0,8,2,4,8,High,,
33,M,South,27:00.0,4,1,3,2,2,269,52.39,19.4758,10,1,3,2,3,3,Low,,
34,F,South,43:00.0,8,3,5,5,3,492,70.67,14.3638,19,1,6,2,4,6,Low,,
35,F,South,23:00.0,12,3,9,7,5,907,139.23,15.3506,30,2,8,2,4,8,Medium,,
36,M,North,29:00.0,8,2,6,2,6,633,90.15,14.2417,27,1,7,2,3,7,Medium,,
37,F,North,33:00.0,11,3,8,4,7,807,117.75,14.591,38,2,7,2,3,7,Medium,,
38,M,North,34:00.0,10,4,6,2,8,529,73.36,13.8676,28,3,8,2,4,8,Medium,,
39,M,South,56:00.0,11,4,7,5,6,788,107.19,13.6027,30,1,6,2,4,6,Medium,,
40,F,South,49:00.0,16,4,12,4,12,986,113.92,11.5537,38,2,9,2,4,9,Medium,,
41,F,South,57:00.0,9,4,5,3,6,988,163.67,16.5657,25,2,7,2,4,7,Medium,,
42,F,North,35:00.0,10,2,8,5,5,834,86.41,10.3609,35,2,7,2,4,7,Medium,,
43,M,North,11:00.0,8,2,6,5,3,794,83.91,10.568,27,1,7,2,4,7,Medium,,
44,M,South,38:00.0,5,0,5,1,4,282,24.1,8.546,13,0,3,2,3,3,Low,,
45,F,South,48:00.0,8,0,8,3,5,706,95.82,13.5722,24,2,7,2,3,7,Medium,,
46,F,North,29:00.0,8,2,6,1,7,705,98.71,14.0014,23,1,6,2,3,6,Medium,,
47,F,South,13:00.0,6,2,4,3,3,610,68.54,11.236,19,0,5,2,4,5,Medium,,
48,F,South,18:00.0,4,2,2,2,2,405,75.84,18.7259,15,1,4,2,3,4,Low,,
49,M,South,50:00.0,9,2,7,4,5,701,81.8,11.669,31,2,8,2,4,8,Medium,,
50,M,North,09:00.0,16,5,11,10,6,674,65.34,9.6943,39,1,8,2,4,8,Medium,,
51,M,South,50:00.0,5,0,5,0,5,357,47.91,13.4201,14,2,3,1,1,3,Low,,
52,M,South,21:00.0,6,3,3,2,4,407,56.85,13.968,12,0,5,2,3,5,Low,,
53,M,North,41:00.0,10,5,5,5,5,784,51.17,6.5267,30,1,7,2,4,7,Medium,,
54,F,South,08:00.0,4,1,3,3,1,222,26.64,12,10,1,4,2,3,4,Low,,
55,M,South,46:00.0,6,2,4,2,4,531,53.44,10.064,16,0,6,2,4,6,Medium,,
56,M,North,21:00.0,10,3,7,3,7,508,80.23,15.7933,27,2,7,2,4,7,Medium,,
57,F,South,03:00.0,7,3,4,4,3,672,92.04,13.6964,27,1,4,2,3,4,Medium,,
58,M,North,31:00.0,5,2,3,1,4,231,31.01,13.4242,14,2,4,2,3,4,Low,,
59,M,South,32:00.0,6,2,4,3,3,346,52.35,15.13,18,2,6,2,4,6,Low,,
60,F,South,23:00.0,7,3,4,3,4,820,62.02,7.5634,25,0,6,2,4,6,Medium,,
61,F,South,36:00.0,10,3,7,4,6,835,75.24,9.0107,39,1,8,2,4,8,Medium,,
62,F,South,26:00.0,8,3,5,3,5,718,81.74,11.3844,22,2,7,2,3,7,Medium,,
63,F,South,32:00.0,8,2,6,3,5,566,79.57,14.0583,26,2,7,2,4,7,Medium,,
64,F,South,35:00.0,6,1,5,0,6,511,36.92,7.225,18,0,6,2,3,6,Medium,,
65,F,North,44:00.0,12,3,9,7,5,873,93.51,10.7113,35,0,9,2,4,9,Medium,,
66,F,South,10:00.0,7,4,3,4,3,422,57.59,13.6469,17,2,7,2,4,7,Low,,
67,M,South,11:00.0,7,3,4,5,2,411,63.1,15.3527,17,2,5,2,3,5,Low,,
68,M,South,17:00.0,15,4,11,6,9,1146,139.74,12.1937,44,1,8,2,4,8,High,,
69,M,South,00:00.0,10,1,9,4,6,1040,132.32,12.723,36,1,8,2,4,8,High,,
70,M,South,59:00.0,7,3,4,3,4,720,53.57,7.4402,21,0,6,2,4,6,Medium,,
71,M,South,26:00.0,6,1,5,3,3,517,61.96,11.9845,17,1,4,2,3,4,Medium,,
72,F,South,58:00.0,12,2,10,5,7,1051,159.24,15.1512,42,6,6,2,4,6,High,,
73,F,South,27:00.0,7,1,6,3,4,359,60.62,16.8857,14,2,5,2,4,5,Low,,
74,M,South,38:00.0,6,3,3,3,3,672,64.14,9.5446,17,1,4,2,3,4,Medium,,
75,F,South,52:00.0,13,5,8,8,5,975,116.72,11.9712,32,1,8,2,4,8,Medium,,
76,M,South,23:00.0,10,3,7,4,6,660,67.79,10.2712,23,1,6,2,3,6,Medium,,
77,M,South,55:00.0,11,3,8,6,5,946,60.93,6.4408,36,1,9,2,4,9,Medium,,
78,M,South,30:00.0,7,2,5,2,5,855,56.49,6.607,22,0,5,2,4,5,Medium,,
79,M,South,08:00.0,5,1,4,3,2,552,88.42,16.0181,14,1,4,2,4,4,Medium,,
80,M,North,44:00.0,11,4,7,3,8,937,102.66,10.9562,33,2,8,2,4,8,Medium,,
81,F,South,10:00.0,7,4,3,3,4,356,24.57,6.9016,17,0,6,2,4,6,Low,,
82,M,North,04:00.0,10,4,6,3,7,969,121.9,12.5799,34,1,8,2,4,8,Medium,,
83,M,South,39:00.0,10,2,8,2,8,1008,169.06,16.7718,29,2,8,2,4,8,High,,
84,M,North,40:00.0,3,1,2,0,3,219,29.06,13.2694,11,1,3,2,3,3,Low,,
85,M,North,42:00.0,10,1,9,5,5,1031,61.81,5.9951,34,0,7,2,3,7,High,,
86,F,South,12:00.0,9,2,7,6,3,872,55.63,6.3795,30,1,6,2,4,6,Medium,,
87,M,South,49:00.0,9,4,5,3,6,497,68.7,13.8229,23,1,5,2,4,5,Low,,
88,M,South,13:00.0,8,4,4,3,5,459,57.45,12.5163,19,1,4,2,3,4,Low,,
89,F,South,12:00.0,13,7,6,6,7,1849,266.65,14.4213,56,2,8,2,4,8,High,,
90,M,South,20:00.0,9,3,6,5,4,885,80.09,9.0497,27,1,9,2,4,9,Medium,,
91,M,South,00:00.0,11,2,9,4,7,1242,150.23,12.0958,39,1,8,2,4,8,High,,
92,F,North,59:00.0,9,1,8,5,4,505,73.69,14.592,29,3,4,2,3,4,Medium,,
93,F,South,43:00.0,7,2,5,3,4,769,104.5,13.589,27,0,4,2,3,4,Medium,,
94,M,South,09:00.0,7,2,5,3,4,1060,106.45,10.0424,32,0,6,2,4,6,High,,
95,F,South,05:00.0,4,1,3,2,2,419,57.13,13.6348,12,1,4,2,4,4,Low,,
96,M,South,53:00.0,9,2,7,2,7,826,61.6,7.4576,30,0,6,2,4,6,Medium,,
97,M,South,07:00.0,5,1,4,4,1,623,70.55,11.3242,19,0,5,2,4,5,Medium,,
98,F,South,12:00.0,7,3,4,3,4,386,29.19,7.5621,15,2,5,2,3,5,Low,,
99,M,South,05:00.0,3,1,2,1,2,328,23.46,7.1524,7,1,2,2,2,2,Low,,
100,M,South,42:00.0,5,1,4,3,2,403,42.52,10.5508,19,1,3,1,2,3,Low,,
101,M,South,25:00.0,10,1,9,7,3,565,79.72,14.1097,29,3,6,2,3,6,Medium,,
102,F,South,22:00.0,7,5,2,3,4,658,96.36,14.6443,26,2,6,2,3,6,Medium,,
103,M,South,44:00.0,10,1,9,4,6,445,31.96,7.182,27,1,6,2,4,6,Low,,
104,M,North,10:00.0,7,3,4,3,4,870,133.54,15.3494,32,1,6,2,3,6,Medium,,
105,M,South,44:00.0,4,1,3,1,3,262,33.17,12.6603,10,0,4,2,3,4,Low,,
106,M,North,06:00.0,8,5,3,4,4,853,93.81,10.9976,27,0,6,2,3,6,Medium,,
107,M,North,31:00.0,10,2,8,3,7,930,164.62,17.701,34,5,8,2,4,8,Medium,,
108,F,South,53:00.0,11,5,6,4,7,1136,158.79,13.9779,33,4,6,2,4,6,High,,
109,F,South,05:00.0,3,0,3,3,0,400,33.9,8.475,12,1,3,2,3,3,Low,,
110,M,South,17:00.0,6,1,5,0,6,449,71.93,16.02,18,3,6,2,4,6,Low,,
111,M,South,27:00.0,9,5,4,5,4,765,111.02,14.5124,27,3,5,2,3,5,Medium,,
112,F,North,12:00.0,5,3,2,2,3,333,20.06,6.024,14,1,4,2,3,4,Low,,
113,F,South,41:00.0,8,2,6,5,3,662,93.75,14.1616,25,0,6,2,4,6,Medium,,
114,M,North,53:00.0,9,3,6,5,4,545,63.16,11.5889,29,1,7,2,4,7,Medium,,
115,M,South,46:00.0,8,2,6,2,6,743,98.38,13.2409,27,2,7,2,4,7,Medium,,
116,M,North,55:00.0,3,0,3,2,1,162,17.03,10.5123,6,1,2,1,1,2,Low,,
117,M,North,40:00.0,6,3,3,2,4,529,53.94,10.1965,16,0,5,2,4,5,Medium,,
118,F,North,53:00.0,9,5,4,4,5,992,79.06,7.9697,30,0,8,2,4,8,Medium,,
119,M,South,28:00.0,10,4,6,5,5,1358,133.65,9.8416,41,1,7,2,4,7,High,,
120,F,South,57:00.0,15,3,12,5,10,2273,296.9,13.062,59,1,10,2,4,10,High,,
121,M,South,57:00.0,8,4,4,2,6,878,96.51,10.992,29,1,4,2,3,4,Medium,,
122,M,South,17:00.0,10,0,10,1,9,1077,167.18,15.5227,29,2,6,2,4,6,High,,
123,M,South,56:00.0,5,2,3,1,4,504,17.9,3.5515,15,0,5,2,4,5,Medium,,
124,M,North,30:00.0,8,3,5,1,7,1137,150.27,13.2163,31,1,4,1,2,4,High,,
125,M,South,40:00.0,8,2,6,4,4,436,63.38,14.5366,21,2,4,2,3,4,Low,,
126,F,North,34:00.0,6,1,5,0,6,357,35.39,9.9131,13,0,4,2,3,4,Low,,
127,F,South,40:00.0,14,6,8,7,7,1400,147.26,10.5185,54,2,8,2,4,8,High,,
128,M,South,41:00.0,8,2,6,4,4,854,130.71,15.3056,26,1,7,2,4,7,Medium,,
129,M,North,40:00.0,5,1,4,2,3,600,112.97,18.8283,21,2,4,2,2,4,Medium,,
130,M,South,37:00.0,13,3,10,3,10,1200,158.55,13.2125,40,2,9,2,4,9,High,,
131,F,South,35:00.0,12,0,12,7,5,1073,118.83,11.0745,32,2,8,2,4,8,High,,
132,M,South,22:00.0,9,6,3,0,9,504,34.83,6.9107,23,0,5,2,3,5,Medium,,
133,M,South,35:00.0,11,3,8,5,6,965,87.87,9.1056,34,1,8,2,4,8,Medium,,
134,M,South,26:00.0,9,0,9,3,6,1081,161.34,14.925,26,2,7,2,3,7,High,,
135,M,South,17:00.0,7,3,4,1,6,590,89.33,15.1406,20,0,6,2,4,6,Medium,,
136,F,South,28:00.0,10,5,5,3,7,709,84.13,11.866,29,2,6,2,4,6,Medium,,
137,F,South,26:00.0,11,2,9,4,7,851,72.65,8.537,25,1,8,2,4,8,Medium,,
138,M,South,02:00.0,11,4,7,6,5,1231,125.89,10.2266,43,0,8,2,3,8,High,,
139,M,South,31:00.0,7,5,2,4,3,427,50.94,11.9297,17,2,6,2,4,6,Low,,
140,F,North,54:00.0,4,2,2,0,4,424,28.04,6.6132,13,1,4,2,3,4,Low,,
141,M,North,49:00.0,11,2,9,3,8,1074,94.42,8.7914,29,0,6,2,4,6,High,,
142,F,North,31:00.0,12,5,7,7,5,1306,172.59,13.2151,37,2,9,2,4,9,High,,
143,M,North,31:00.0,6,2,4,5,1,426,35.49,8.3309,13,0,4,2,3,4,Low,,
144,F,North,14:00.0,10,3,7,6,4,923,91.21,9.8819,31,0,7,2,3,7,Medium,,
145,M,South,26:00.0,9,5,4,4,5,713,70.23,9.8499,22,1,7,2,4,7,Medium,,
146,F,South,31:00.0,11,3,8,5,6,758,91.46,12.0659,33,1,7,2,4,7,Medium,,
147,M,South,09:00.0,13,4,9,7,6,958,127.64,13.3235,41,1,8,2,4,8,Medium,,
148,M,South,20:00.0,10,2,8,3,7,922,105.11,11.4002,29,1,7,2,3,7,Medium,,
149,M,South,10:00.0,9,3,6,4,5,669,68.67,10.2645,31,0,6,2,3,6,Medium,,
150,M,North,29:00.0,9,2,7,4,5,897,75.99,8.4715,35,0,5,2,3,5,Medium,,
151,M,South,03:00.0,5,4,1,1,4,473,19.48,4.1183,13,0,5,1,2,5,Low,,
152,M,South,16:00.0,4,1,3,2,2,366,44.88,12.2622,12,0,3,2,2,3,Low,,
153,M,North,32:00.0,6,4,2,3,3,391,73.44,18.7826,15,2,6,2,4,6,Low,,
154,M,South,48:00.0,8,1,7,2,6,644,64.75,10.0543,27,1,5,2,4,5,Medium,,
155,M,South,52:00.0,8,2,6,3,5,847,63.64,7.5135,28,1,8,2,4,8,Medium,,
156,F,South,42:00.0,11,5,6,5,6,1109,104.83,9.4526,32,1,8,2,4,8,High,,
157,M,North,25:00.0,6,1,5,3,3,436,64.75,14.8509,15,1,5,2,3,5,Low,,
158,M,South,29:00.0,7,4,3,4,3,465,64.5,13.8709,14,0,5,2,4,5,Low,,
159,M,South,40:00.0,12,5,7,3,9,790,114.68,14.5164,31,2,9,2,4,9,Medium,,
160,M,North,09:00.0,6,2,4,3,3,525,73.43,13.9866,18,1,6,2,4,6,Medium,,
161,F,South,50:00.0,8,3,5,4,4,449,36.97,8.2338,20,0,6,2,4,6,Low,,
162,M,North,57:00.0,9,2,7,3,6,1210,121.06,10.0049,35,1,6,2,4,6,High,,
163,M,North,53:00.0,12,6,6,8,4,718,72,10.0278,29,0,10,2,4,10,Medium,,
164,M,South,11:00.0,8,1,7,3,5,800,44.86,5.6075,25,3,8,2,4,8,Medium,,
165,M,South,59:00.0,10,1,9,3,7,1049,80.65,7.6882,38,1,5,2,4,5,High,,
166,F,South,06:00.0,6,3,3,2,4,276,26.72,9.6811,14,0,6,2,3,6,Low,,
167,M,South,37:00.0,6,1,5,1,5,381,66.55,17.4671,21,2,4,2,3,4,Low,,
168,F,South,21:00.0,7,1,6,4,3,845,108.64,12.8568,24,1,3,1,2,3,Medium,,
169,F,South,10:00.0,11,3,8,5,6,950,129.22,13.6021,36,1,7,2,4,7,Medium,,
170,M,South,21:00.0,4,0,4,2,2,240,34.14,14.225,11,0,4,1,2,4,Low,,
171,M,South,56:00.0,8,3,5,4,4,445,29.4,6.6067,23,1,6,2,4,6,Low,,
172,M,South,37:00.0,11,0,11,6,5,1018,108.88,10.6954,31,1,6,2,4,6,High,,
173,M,South,42:00.0,8,3,5,3,5,630,78.4,12.4444,25,1,5,2,4,5,Medium,,
174,M,South,01:00.0,6,4,2,3,3,286,20.87,7.2972,19,1,5,2,3,5,Low,,
175,F,South,41:00.0,5,4,1,3,2,359,53.23,14.8272,18,1,5,2,3,5,Low,,
176,M,South,15:00.0,7,1,6,5,2,878,141.21,16.0831,19,1,5,2,3,5,Medium,,
177,M,South,58:00.0,10,5,5,6,4,768,90.48,11.7812,39,2,7,2,4,7,Medium,,
178,M,South,53:00.0,13,5,8,8,5,1239,136.6,11.025,36,4,6,2,3,6,High,,
179,M,North,41:00.0,8,2,6,5,3,552,62.26,11.2789,23,1,7,2,4,7,Medium,,
180,M,North,49:00.0,7,0,7,4,3,484,73.62,15.2107,24,2,5,2,3,5,Low,,
181,M,South,05:00.0,8,1,7,5,3,494,42.49,8.6012,17,1,7,2,4,7,Low,,
182,M,South,15:00.0,10,3,7,4,6,812,86.83,10.6933,31,3,5,2,4,5,Medium,,
183,M,South,32:00.0,12,4,8,5,7,1220,167,13.6885,31,3,7,2,3,7,High,,
184,M,South,35:00.0,10,1,9,5,5,1000,74.5,7.45,36,0,8,2,4,8,Medium,,
185,M,North,11:00.0,9,3,6,6,3,850,92.18,10.8447,31,1,6,2,3,6,Medium,,
186,F,South,17:00.0,7,2,5,1,6,631,66.23,10.496,18,1,5,2,3,5,Medium,,
187,M,South,14:00.0,5,1,4,0,5,880,85.5,9.7159,22,2,5,2,4,5,Medium,,
188,F,South,07:00.0,7,3,4,3,4,442,53.3,12.0588,28,2,4,1,2,4,Low,,
189,M,South,42:00.0,7,0,7,3,4,460,65.8,14.3043,15,1,6,2,4,6,Low,,
190,F,South,08:00.0,10,2,8,6,4,1343,134,9.9776,36,1,6,2,4,6,High,,
191,M,South,32:00.0,5,2,3,2,3,366,34.33,9.3797,17,0,5,2,3,5,Low,,
192,M,South,34:00.0,8,1,7,5,3,1046,156.52,14.9636,25,3,5,2,4,5,High,,
193,M,South,22:00.0,12,1,11,6,6,747,79.56,10.6506,30,2,8,2,4,8,Medium,,
194,M,South,44:00.0,5,2,3,2,3,395,56.83,14.3873,12,1,3,2,2,3,Low,,
195,F,South,02:00.0,12,3,9,3,9,914,108.38,11.8577,31,2,8,2,4,8,Medium,,
196,F,South,48:00.0,5,3,2,1,4,480,72.82,15.1708,16,2,4,2,4,4,Low,,
197,F,North,34:00.0,9,1,8,2,7,985,131.23,13.3228,33,1,8,2,4,8,Medium,,
198,M,South,37:00.0,6,1,5,1,5,664,49.08,7.3915,20,0,6,2,3,6,Medium,,
199,M,South,31:00.0,9,2,7,2,7,829,95.55,11.5259,28,1,7,2,4,7,Medium,,
200,M,South,02:00.0,6,1,5,2,4,396,49.55,12.5126,18,0,5,2,2,5,Low,,
201,M,South,34:00.0,5,1,4,1,4,350,50.99,14.5685,16,2,4,2,3,4,Low,,
202,F,South,02:00.0,12,4,8,7,5,737,74.02,10.0434,34,2,9,2,4,9,Medium,,
203,M,North,42:00.0,4,1,3,2,2,471,67.23,14.2738,12,0,3,2,2,3,Low,,
204,F,South,12:00.0,8,3,5,3,5,550,70.9,12.8909,26,2,7,2,3,7,Medium,,
205,M,North,20:00.0,8,2,6,3,5,801,68.73,8.5805,26,0,6,2,3,6,Medium,,
206,F,North,39:00.0,8,2,6,4,4,850,155.43,18.2858,26,3,5,2,4,5,Medium,,
207,F,North,44:00.0,8,1,7,3,5,908,57.9,6.3766,34,1,7,2,4,7,Medium,,
208,M,North,44:00.0,7,1,6,1,6,231,28.54,12.3549,15,2,4,2,3,4,Low,,
209,M,North,07:00.0,8,1,7,2,6,1035,140.25,13.5507,30,1,6,2,4,6,High,,
210,M,South,04:00.0,11,3,8,7,4,1108,173.55,15.6633,33,2,7,2,3,7,High,,
211,M,North,07:00.0,14,3,11,6,8,1316,117.03,8.8928,42,1,7,2,3,7,High,,
212,M,South,02:00.0,9,2,7,4,5,1074,138.5,12.8957,26,1,6,2,4,6,High,,
213,F,South,34:00.0,10,2,8,4,6,861,130.65,15.1742,32,0,7,2,4,7,Medium,,
214,M,North,46:00.0,9,2,7,3,6,946,80.89,8.5507,28,0,6,2,3,6,Medium,,
215,F,South,16:00.0,9,0,9,3,6,527,67.67,12.8406,26,2,6,2,4,6,Medium,,
216,F,South,08:00.0,9,5,4,6,3,411,63.96,15.562,18,4,8,2,4,8,Low,,
217,M,North,38:00.0,7,2,5,2,5,754,77.51,10.2798,26,0,7,2,3,7,Medium,,
218,M,South,44:00.0,9,3,6,5,4,1088,126.18,11.5974,33,1,7,2,4,7,High,,
219,F,South,44:00.0,9,2,7,1,8,977,123.83,12.6745,25,0,8,2,4,8,Medium,,
220,M,South,26:00.0,8,1,7,5,3,515,72.83,14.1417,22,1,8,2,3,8,Medium,,
221,M,South,37:00.0,11,2,9,2,9,1072,128.28,11.9664,31,4,7,2,4,7,High,,
222,M,South,33:00.0,11,4,7,4,7,612,80.22,13.1078,33,1,7,2,4,7,Medium,,
223,M,South,05:00.0,9,1,8,3,6,751,107.34,14.2929,29,1,7,2,4,7,Medium,,
224,M,North,47:00.0,5,2,3,3,2,441,64.69,14.6689,18,1,4,2,3,4,Low,,
225,M,North,41:00.0,7,1,6,2,5,356,20.36,5.7191,23,1,6,2,4,6,Low,,
226,M,South,43:00.0,7,4,3,5,2,347,24.97,7.1959,20,0,5,2,2,5,Low,,
227,M,South,56:00.0,5,2,3,3,2,710,89.87,12.6577,15,1,4,2,3,4,Medium,,
228,F,South,02:00.0,9,2,7,5,4,546,85.16,15.597,25,2,6,2,4,6,Medium,,
229,F,South,44:00.0,10,4,6,4,6,692,76.12,11,33,1,5,2,2,5,Medium,,
230,M,South,39:00.0,6,1,5,3,3,417,23.26,5.5779,19,0,4,2,3,4,Low,,
231,F,South,46:00.0,4,1,3,2,2,228,32.93,14.4429,12,0,3,2,3,3,Low,,
232,F,North,00:00.0,8,2,6,4,4,741,99.88,13.479,23,0,6,2,3,6,Medium,,
233,M,North,43:00.0,7,5,2,0,7,1092,155.09,14.2023,22,1,4,2,3,4,High,,
234,M,South,42:00.0,5,0,5,2,3,360,39.93,11.0916,16,0,4,2,3,4,Low,,
235,M,South,56:00.0,7,5,2,5,2,1009,169.81,16.8295,26,2,6,2,3,6,High,,
236,M,South,00:00.0,8,4,4,1,7,562,82.61,14.6992,20,2,5,2,3,5,Medium,,
237,M,South,34:00.0,12,3,9,5,7,817,94.26,11.5373,27,2,7,2,4,7,Medium,,
238,M,South,41:00.0,10,3,7,6,4,710,67.25,9.4718,24,0,8,2,4,8,Medium,,
239,M,South,14:00.0,5,1,4,3,2,348,25.8,7.4137,11,1,4,2,3,4,Low,,
240,M,South,10:00.0,8,5,3,1,7,474,64.26,13.5569,20,2,5,2,3,5,Low,,
241,F,South,31:00.0,17,7,10,7,10,1290,103.43,8.0178,46,0,9,2,4,9,High,,
242,M,North,26:00.0,5,1,4,2,3,341,64.06,18.7859,18,2,4,2,3,4,Low,,
243,M,South,21:00.0,10,3,7,4,6,846,147.33,17.4148,35,3,6,2,3,6,Medium,,
244,M,South,16:00.0,8,1,7,4,4,429,67.02,15.6223,27,0,5,2,3,5,Low,,
245,M,South,25:00.0,4,0,4,1,3,465,93.12,20.0258,12,2,4,2,3,4,Low,,
246,M,South,11:00.0,8,3,5,2,6,530,60.67,11.4471,23,1,6,2,3,6,Medium,,
247,M,North,19:00.0,5,1,4,2,3,732,60.11,8.2117,18,0,3,2,2,3,Medium,,
248,M,South,45:00.0,8,5,3,2,6,579,68.83,11.8877,26,3,6,2,4,6,Medium,,
249,M,South,30:00.0,7,1,6,3,4,403,62.69,15.5558,14,2,6,1,2,6,Low,,
250,F,North,32:00.0,8,4,4,4,4,653,59.32,9.0842,20,0,5,2,3,5,Medium,,
251,F,North,15:00.0,8,2,6,5,3,1035,148.61,14.3584,31,2,4,2,3,4,High,,
252,M,South,05:00.0,13,4,9,6,7,887,111.97,12.6234,33,1,8,2,4,8,Medium,,
253,M,South,17:00.0,14,5,9,10,4,1326,163.38,12.3212,49,0,9,2,4,9,High,,
254,M,North,22:00.0,9,1,8,3,6,1246,126.67,10.1661,31,1,5,2,3,5,High,,
255,M,North,58:00.0,6,1,5,3,3,442,58.9,13.3257,19,2,5,2,4,5,Low,,
256,M,South,01:00.0,11,3,8,4,7,1124,148.08,13.1743,37,1,9,2,4,9,High,,
257,M,South,35:00.0,15,8,7,9,6,1501,170.16,11.3364,46,2,10,2,4,10,High,,
258,F,South,55:00.0,13,4,9,2,11,1007,110.6,10.9831,33,2,10,2,4,10,High,,
259,M,North,41:00.0,9,1,8,6,3,1079,110.73,10.2622,29,0,6,2,3,6,High,,
260,M,South,03:00.0,4,4,0,2,2,200,34.58,17.29,11,1,2,2,2,2,Low,,
261,M,North,27:00.0,9,3,6,5,4,792,112.96,14.2626,29,1,5,2,4,5,Medium,,
262,F,South,19:00.0,6,0,6,3,3,608,69.29,11.3963,18,0,5,2,4,5,Medium,,
263,M,South,46:00.0,10,4,6,5,5,815,78.47,9.6282,29,3,7,2,4,7,Medium,,
264,M,South,28:00.0,6,1,5,3,3,345,56.7,16.4347,14,1,4,1,2,4,Low,,
265,M,North,43:00.0,6,2,4,4,2,348,45.45,13.0603,22,0,5,2,3,5,Low,,
266,M,North,18:00.0,5,3,2,3,2,466,42.76,9.1759,17,0,4,1,2,4,Low,,
267,F,South,49:00.0,13,1,12,5,8,1160,120.16,10.3586,46,0,7,2,4,7,High,,
268,F,South,52:00.0,12,5,7,6,6,1303,135.25,10.3798,44,0,7,2,4,7,High,,
